Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
Male,22,Christianity,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,Hostel,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,19,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,20,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,No one,Single,No,Greater-than #5000,Unstable,Labor,Yes,Few,No,Yes,15,Boyfriend/Girlfriend,One,22-26,Early,No
Male,20,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,Because we are in the same department.,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Few,No,No,,,,22-26,,No
Female,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,I need privacy,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
Female,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Unstable,Labor,No,Few,Yes,Yes,20,Boyfriend/Girlfriend,One,22-26,Late,No
Male,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Student,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,27and above,,No
Male,23,Islamic,Frequently attends (more than twice in a month),Campus,Friends/Roommates,HE IS A FRIEND,Single,Yes,Less-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,20,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,FINANCE & INSECURITY,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,20,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Parent/relatives.,I Am from ife...,Single,No,Less-than #5000,Stable,Labor,No,None,Yes,No,,,,22-26,,No
Male,23,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,I just feel like,Single,Yes,Less-than #5000,Unstable,Labor,No,Few,No,Yes,17,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Social custom,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,I love staying alone,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,16,Boyfriend/Girlfriend,One,22-26,Early,No
Male,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,"I also like to be alone, i don't have strength to fight",Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,16,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,we have value in common,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,Yes,Few,Yes,Yes,19,Boyfriend/Girlfriend,One,22-26,Early,No
Male,20,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Nil,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,18,Christianity,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,Cause i'm in hostel & there is no choice,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,17-21,,No
Male,21,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,As per roommate we can't  choose who we are to stay with on campus,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,Yes,17,Boyfriend/Girlfriend,One,22-26,Early,No
Female,22,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Because i enjoy my alone time,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
